pcds,lat,long
PE29 6NT,52.333364,-0.202658
PE3 9GZ,52.58394,-0.279371
PE30 4ET,52.75663,0.446694
PL31 2QN,50.471755,-4.740858
PL6 8DH,50.416707,-4.113712
PO19 6SE,50.843544,-0.768008
PO30 5TG,50.710832,-1.301363
PO6 3LY,50.850287,-1.069917
PR2 9HT,53.791521,-2.706842
PR5 6AW,53.719431,-2.63894
PR8 6PN,53.63357,-2.978821
RG1 5AN,51.451023,-0.95931
RG12 2UT,51.416178,-0.740213
RG24 9NA,51.280633,-1.1099
RH1 5RH,51.219192,-0.161983
RH10 9BG,51.133206,-0.168128
RH19 3DZ,51.135069,-0.002873
RM13 8GQ,51.518578,0.171162
RM7 0AG,51.568649,0.179058
S10 2TH,53.380617,-1.490628
S42 7JE,53.239334,-1.480649
S44 5BL,53.236233,-1.400049
S5 7AU,53.409821,-1.455966
S60 2UD,53.413991,-1.342881
S75 2EP,53.55915,-1.499495
SE1 7EH,51.49796,-0.11888
SE1 8SD,51.500175,-0.109005
SE1 8UG,51.501764,-0.10881
SE13 6LH,51.453022,-0.017917
SE5 9RS,51.468078,-0.09389
SG1 4AB,51.924246,-0.211889
SG8 6NA,52.076599,0.01429
SK10 3BL,53.262339,-2.141072
SK2 7JE,53.383794,-2.132019
SL2 4HL,51.532009,-0.573974
SM5 1AA,51.380188,-0.183708
SN3 6BB,51.538529,-1.727188
SO16 6YD,50.933011,-1.435095
SO19 8BR,50.901678,-1.33085
SO22 5DG,51.0617,-1.329159
SO40 2RZ,50.931292,-1.530043
SP2 8BJ,51.04394,-1.789814
SR2 0NB,54.863941,-1.369334
SR4 7TP,54.902214,-1.410327
SS0 0RY,51.553842,0.688646
SS11 7XX,51.633013,0.543374
SS16 5NL,51.558437,0.451767
ST16 3SA,52.811307,-2.097781
ST16 3SR,52.81065,-2.109263
ST4 6QG,53.003262,-2.211798
ST4 8HH,52.96839,-2.167808
ST5 1QG,53.010145,-2.227615
SW10 9NH,51.484309,-0.18162
SW17 0QT,51.426682,-0.175694
SW17 7DJ,51.437358,-0.172348
SW3 6JJ,51.490562,-0.172541
SW3 6NP,51.489744,-0.170831
SY10 7AG,52.884226,-3.032684
SY2 6FG,52.691063,-2.721364
SY3 8XQ,52.709274,-2.793689
TA1 5DA,51.011569,-3.121702
TN25 4AZ,51.171892,0.870742
TN37 7PT,50.88769,0.561978
TQ2 7AA,50.482303,-3.553819
TQ2 7TD,50.487766,-3.5528
TR1 3LJ,50.266675,-5.091511
TS24 9AH,54.702408,-1.227851
TS4 3BW,54.551768,-1.21482
TS6 0SZ,54.54569,-1.14681
TW11 8HU,51.427449,-0.326578
TW7 6AF,51.473648,-0.324413
UB1 3HW,51.507606,-0.345474
UB2 4SD,51.506315,-0.358547
UB8 3NN,51.526078,-0.461155
W12 0HS,51.517422,-0.234698
W2 1BL,51.517542,-0.174387
